2026-07-11 03:00 | controle pairs: OK 9/9 | positions 8 | equity 99534.39 (-465.61) | net -28.1%/an
2026-07-11 04:00 | controle pairs: OK 9/9 | positions 8 | equity 99548.91 (-451.09) | net -27.0%/an
2026-07-11 05:00 | controle pairs: OK 9/9 | positions 5 | equity 99423.56 (-576.44) | net -34.3%/an
2026-07-11 06:00 | controle pairs: OK 9/9 | positions 5 | equity 99418.40 (-581.60) | net -34.4%/an
2026-07-11 07:00 | controle pairs: OK 9/9 | positions 5 | equity 99425.67 (-574.33) | net -33.7%/an
2026-07-11 08:00 | controle pairs: OK 9/9 | positions 5 | equity 99419.94 (-580.06) | net -33.8%/an
2026-07-11 09:00 | controle pairs: OK 9/9 | positions 5 | equity 99417.99 (-582.01) | net -33.7%/an
2026-07-11 10:00 | controle pairs: OK 9/9 | positions 5 | equity 99413.90 (-586.10) | net -33.7%/an
2026-07-11 11:00 | controle pairs: OK 9/9 | positions 5 | equity 99428.23 (-571.77) | net -32.7%/an
2026-07-11 12:00 | controle pairs: OK 9/9 | positions 5 | equity 99420.79 (-579.21) | net -32.9%/an
2026-07-11 13:00 | controle pairs: OK 9/9 | positions 5 | equity 99427.36 (-572.64) | net -32.3%/an
2026-07-11 14:00 | controle pairs: OK 9/9 | positions 5 | equity 99429.52 (-570.48) | net -32.0%/an
2026-07-11 15:00 | controle pairs: OK 9/9 | positions 5 | equity 99436.50 (-563.50) | net -31.4%/an
2026-07-11 16:00 | controle pairs: OK 9/9 | positions 5 | equity 99426.86 (-573.14) | net -31.7%/an
2026-07-11 17:00 | controle pairs: OK 9/9 | positions 5 | equity 99431.91 (-568.09) | net -31.3%/an
2026-07-11 18:00 | controle pairs: OK 9/9 | positions 5 | equity 99441.12 (-558.88) | net -30.6%/an
2026-07-11 19:00 | controle pairs: OK 9/9 | positions 5 | equity 99420.74 (-579.26) | net -31.5%/an
2026-07-11 20:00 | controle pairs: OK 9/9 | positions 5 | equity 99431.18 (-568.82) | net -30.7%/an
2026-07-11 21:00 | controle pairs: OK 9/9 | positions 5 | equity 99450.21 (-549.79) | net -29.5%/an
2026-07-11 22:00 | controle pairs: OK 9/9 | positions 5 | equity 99442.82 (-557.18) | net -29.7%/an
2026-07-11 23:00 | controle pairs: OK 9/9 | positions 5 | equity 99422.57 (-577.43) | net -30.6%/an
2026-07-12 00:00 | controle pairs: OK 9/9 | positions 5 | equity 99467.40 (-532.60) | net -28.1%/an
2026-07-12 01:00 | controle pairs: OK 9/9 | positions 5 | equity 99437.37 (-562.63) | net -29.5%/an
2026-07-12 02:00 | controle pairs: OK 9/9 | positions 5 | equity 99430.23 (-569.77) | net -29.7%/an
2026-07-12 03:00 | controle pairs: OK 9/9 | positions 5 | equity 99444.32 (-555.68) | net -28.8%/an
2026-07-12 04:00 | controle pairs: OK 9/9 | positions 5 | equity 99423.53 (-576.47) | net -29.7%/an
2026-07-12 05:00 | controle pairs: OK 9/9 | positions 4 | equity 99255.37 (-744.63) | net -38.1%/an
2026-07-12 06:00 | controle pairs: OK 9/9 | positions 4 | equity 99271.43 (-728.57) | net -37.1%/an
2026-07-12 07:00 | controle pairs: OK 9/9 | positions 4 | equity 99266.12 (-733.88) | net -37.1%/an
2026-07-12 08:00 | controle pairs: OK 9/9 | positions 4 | equity 99258.80 (-741.20) | net -37.3%/an
2026-07-12 09:00 | controle pairs: OK 9/9 | positions 4 | equity 99260.60 (-739.40) | net -37.0%/an
2026-07-12 10:00 | controle pairs: OK 9/9 | positions 4 | equity 99260.51 (-739.49) | net -36.8%/an
2026-07-12 11:00 | controle pairs: OK 9/9 | positions 4 | equity 99254.20 (-745.80) | net -36.9%/an
2026-07-12 12:00 | controle pairs: OK 9/9 | positions 4 | equity 99288.76 (-711.24) | net -35.0%/an
2026-07-12 13:00 | controle pairs: OK 9/9 | positions 4 | equity 99259.94 (-740.06) | net -36.2%/an
2026-07-12 14:00 | controle pairs: OK 9/9 | positions 4 | equity 99257.03 (-742.97) | net -36.1%/an
2026-07-12 15:00 | controle pairs: OK 9/9 | positions 4 | equity 99256.03 (-743.97) | net -36.0%/an
2026-07-12 16:00 | controle pairs: OK 9/9 | positions 4 | equity 99256.44 (-743.56) | net -35.7%/an
2026-07-12 17:00 | controle pairs: OK 9/9 | positions 4 | equity 99262.58 (-737.42) | net -35.3%/an
2026-07-12 18:00 | controle pairs: OK 9/9 | positions 4 | equity 99259.30 (-740.70) | net -35.2%/an
2026-07-12 19:00 | controle pairs: OK 9/9 | positions 4 | equity 99260.53 (-739.47) | net -35.0%/an
2026-07-12 20:00 | controle pairs: OK 9/9 | positions 4 | equity 99257.32 (-742.68) | net -34.9%/an
2026-07-12 21:00 | controle pairs: OK 9/9 | positions 4 | equity 99255.68 (-744.32) | net -34.8%/an
2026-07-12 22:00 | controle pairs: OK 9/9 | positions 4 | equity 99283.29 (-716.71) | net -33.4%/an
2026-07-12 23:00 | controle pairs: OK 9/9 | positions 4 | equity 99266.41 (-733.59) | net -34.0%/an
2026-07-13 00:00 | controle pairs: OK 9/9 | positions 4 | equity 99272.00 (-728.00) | net -33.5%/an
2026-07-13 01:00 | controle pairs: OK 9/9 | positions 4 | equity 99263.62 (-736.38) | net -33.7%/an
2026-07-13 02:00 | controle pairs: OK 9/9 | positions 4 | equity 99257.11 (-742.89) | net -33.9%/an
2026-07-13 03:00 | controle pairs: OK 9/9 | positions 4 | equity 99262.34 (-737.66) | net -33.4%/an
2026-07-13 04:00 | controle pairs: OK 9/9 | positions 4 | equity 99260.16 (-739.84) | net -33.4%/an
2026-07-13 05:00 | controle pairs: OK 9/9 | positions 4 | equity 99260.32 (-739.68) | net -33.2%/an
2026-07-13 06:00 | controle pairs: OK 9/9 | positions 4 | equity 99173.64 (-826.36) | net -36.9%/an
2026-07-13 07:00 | controle pairs: OK 9/9 | positions 4 | equity 99180.51 (-819.49) | net -36.4%/an
2026-07-13 08:00 | controle pairs: OK 9/9 | positions 4 | equity 99181.92 (-818.08) | net -36.2%/an
2026-07-13 09:00 | controle pairs: OK 9/9 | positions 4 | equity 99169.47 (-830.53) | net -36.5%/an
2026-07-13 10:00 | controle pairs: OK 9/9 | positions 4 | equity 99186.06 (-813.94) | net -35.6%/an
2026-07-13 11:00 | controle pairs: OK 9/9 | positions 4 | equity 99193.06 (-806.94) | net -35.1%/an
2026-07-13 12:00 | controle pairs: OK 9/9 | positions 4 | equity 99181.58 (-818.42) | net -35.5%/an
2026-07-13 13:00 | controle pairs: OK 9/9 | positions 4 | equity 99175.03 (-824.97) | net -35.6%/an
2026-07-13 14:00 | controle pairs: OK 9/9 | positions 4 | equity 99200.59 (-799.41) | net -34.3%/an
2026-07-13 15:00 | controle pairs: OK 9/9 | positions 4 | equity 99153.06 (-846.94) | net -36.2%/an
2026-07-13 16:00 | controle pairs: OK 9/9 | positions 4 | equity 99197.19 (-802.81) | net -34.1%/an
2026-07-13 17:00 | controle pairs: OK 9/9 | positions 4 | equity 99185.77 (-814.23) | net -34.4%/an
2026-07-13 18:00 | controle pairs: OK 9/9 | positions 4 | equity 99198.44 (-801.56) | net -33.7%/an
2026-07-13 19:00 | controle pairs: OK 9/9 | positions 4 | equity 99208.00 (-792.00) | net -33.2%/an
2026-07-13 20:00 | controle pairs: OK 9/9 | positions 4 | equity 99197.13 (-802.87) | net -33.5%/an
2026-07-13 21:00 | controle pairs: OK 9/9 | positions 4 | equity 99190.37 (-809.63) | net -33.6%/an
2026-07-13 22:00 | controle pairs: OK 9/9 | positions 4 | equity 99203.78 (-796.22) | net -32.9%/an
2026-07-13 23:00 | controle pairs: OK 9/9 | positions 4 | equity 99185.20 (-814.80) | net -33.5%/an
2026-07-14 00:00 | controle pairs: OK 9/9 | positions 4 | equity 99168.43 (-831.57) | net -34.0%/an
2026-07-14 01:00 | controle pairs: OK 9/9 | positions 4 | equity 99181.60 (-818.40) | net -33.3%/an
2026-07-14 02:00 | controle pairs: OK 9/9 | positions 4 | equity 99199.77 (-800.23) | net -32.4%/an
2026-07-14 03:00 | controle pairs: OK 9/9 | positions 4 | equity 99208.22 (-791.78) | net -31.9%/an
2026-07-14 04:00 | controle pairs: OK 9/9 | positions 4 | equity 99191.61 (-808.39) | net -32.5%/an
2026-07-14 05:00 | controle pairs: OK 9/9 | positions 4 | equity 99189.18 (-810.82) | net -32.4%/an
2026-07-14 06:00 | controle pairs: OK 9/9 | positions 9 | equity 99053.58 (-946.42) | net -37.7%/an
2026-07-14 07:00 | controle pairs: OK 9/9 | positions 9 | equity 99052.92 (-947.08) | net -37.5%/an
2026-07-14 08:00 | controle pairs: OK 9/9 | positions 9 | equity 99085.79 (-914.21) | net -36.0%/an
2026-07-14 09:00 | controle pairs: OK 9/9 | positions 9 | equity 99068.08 (-931.92) | net -36.6%/an
2026-07-14 10:00 | controle pairs: OK 9/9 | positions 9 | equity 99078.62 (-921.38) | net -36.0%/an
